"X..i.."
"DEPTOR"
"SNTB1"
"COLEC10"
"MED30"
"ENPP2"
"MTBP"
"RIMS2"
"TAF2"
"TNFRSF11B"
"NOV"
"ZFPM2"
"FER1L6"
"MRPL13"
"MYC"
"DSCC1"
"TATDN1"
"POU5F1B"
"TMEM65"
"ANXA13"
"KLHL38"
"NDUFB9"
"TRMT12"
"FAM91A1"
"NSMCE2"
"RNF139"
"FBXO32"
"ATAD2"
"SQLE"
"WDR67"
"C8orf76"
"FAM83A"
"KIAA0196"
"LRP12"
"WDYHV1"
"ZHX1"
"ADCY8"
"VPS13B"
"ZNF572"
"ANGPT1"
"DERL1"
"HAS2"
"TMEM75"
"TRIB1"
"FAM84B"
"PKHD1L1"
"OXR1"
"ZHX2"
"DPYS"
"SNX31"
"TM7SF4"
"KCNV1"
"NUDCD1"
"ABRA"
"DCAF13"
"EBAG9"
"ENY2"
"GRHL2"
"SYBU"
"SLC25A32"
"TMEM74"
"TRHR"
"ASAP1"
"EIF3E"
"RGS22"
"RSPO2"
"BAALC"
"CTHRC1"
"ANKRD46"
"FZD6"
"LOC157567"
"TG"
"TTC35"
"ODF1"
"RNF19A"
"SPAG1"
"FAM92A1"
"PABPC1"
"TMEM71"
"UBR5"
"KLF10"
"POLR2K"
"TMEM67"
"YWHAZ"
"AZIN1"
"CCND1"
"FBXO43"
"Q86U89_HUMAN"
"RBM12B"
"RBM12B-AS1"
"RHD"
"CSMD1"
"OR51A4"
"LGALS9C"
"DEFB104B"
"DEFB105B"
"DEFB106B"
"DEFB107B"
"MCPH1"
"SPAG11B"
"DEFB103A"
"DEFB103B"
"DEFB104A"
"DEFB105A"
"DEFB106A"
"DEFB107A"
"DEFB4A"
"DEFB4B"
"SPAG11A"
"DLC1"
"BIN3"
"BLK"
"C8orf14"
"C8orf49"
"DEFB135"
"DEFB136"
"FAM106A"
"GATA4"
"LOXL2"
"NEIL2"
"NLGN4Y"
"TNFRSF10B"
"TNFRSF10C"
"TNFRSF10D"
"XKR6"
"AGPAT5"
"ANGPT2"
"C8orf58"
"C8orf74"
"C8orf8"
"CTSB"
"CYorf17"
"DDX3Y"
"DEFB134"
"EGR3"
"FA87B_HUMAN"
"FDFT1"
"KIAA1967"
"MTMR9"
"O95014_HUMAN"
"OR4F21"
"PDLIM2"
"PPP3CC"
"RHOBTB2"
"SLC25A37"
"SORBS3"
"SOX7"
"TDH"
"TNFRSF10A"
"TNKS"
"USP9Y"
"UTY"
"ZNF596"
"AMAC1L2"
"ARHGEF10"
"C8orf12"
"CDCA2"
"CHMP7"
"CYorf15B"
"DEFA4"
"DEFA6"
"DEFB1"
"DOCK5"
"EBF2"
"ENTPD4"
"FAM167A"
"GNRH1"
"KBTBD11"
"KCTD9"
"MFHAS1"
"MSRA"
"NKX3-1"
"PEBP4"
"PINX1"
"PRSS55"
"MCF2L2"
"LAMP3"
"ATP11B"
"SOX2"
"NAALADL2"
"MCCC1"
"DCUN1D1"
"KLHL24"
"B3GNT5"
"PEX5L"
"FXR1"
"KLHL6"
"DNAJC19"
"YEATS2"
"CCDC39"
"PARL"
"NLGN1"
"TTC14"
"TNIK"
"HTR3E"
"MAP6D1"
"EIF2B5"
"NCEH1"
"TBL1XR1"
"ABCC5"
"KCNMB2"
"PIK3CA"
"SPATA16"
"USP13"
"ABCF3"
"AP2M1"
"DVL3"
"KCNMB3"
"ZMAT3"
"ZNF639"
"ALG3"
"CAMK2N2"
"ECE2"
"HTR3C"
"VWA5B2"
"EIF4G1"
"GNB4"
"HTR3D"
"LRRC31"
"MFN1"
"PSMD2"
"VPS8"
"ACTL6A"
"CHRD"
"CLCN2"
"CTNND2"
"EPHB3"
"FAM131A"
"MAGEF1"
"MRPL47"
"NDUFB5"
"POLR2H"
"THPO"
"FNDC3B"
"GHSR"
"LRRIQ4"
"TNFSF10"
"MYNN"
"PLD1"
"TP63"
"ARPM1"
"LRRC34"
"C3orf70"
"PHC3"
"SKIL"
"TMEM212"
"ECT2"
"MDS1"
"PRKCI"
"SAMD7"
"SEC62"
"GPR160"
"Q8WYW5_HUMAN"
"SLC2A2"
"SLC7A14"
"CLDN11"
"EIF5A2"
"RPL22L1"
"EHHADH"
"MECOM"
"MYO10"
"TRIO"
"MAP3K13"
"CDH12"
"LEPREL1"
"LIPH"
"LPP"
"TMEM41A"
"DGKG"
"IGF2BP2"
"C3orf65"
"SENP2"
"TPRG1"
"DNAH5"
"GOLIM4"
"RBMY1E"
"FAM197Y1"
"TSPY1"
"TSPY10"
"TSPY3"
"TSPY4"
"TSPY8"
"RBMY1J"
"EIF1AY"
"TXLNG2P"
"HSFY2"
"PRKY"
"VCY1B"
"RBMY1F"
"VCY"
"DAZ2"
"SRY"
"RPS4Y1"
"ZFY"
"DAZ1"
"PRY"
"GYG2P1"
"IFNE"
"Q8WTY6_HUMAN"
"IFNA1"
"PRY2"
"IFNA8"
"ELAVL2"
"IFNA13"
"IFNA2"
"IFNA6"
"KLHL9"
"IFNA5"
"TBL1Y"
"IFNA14"
"CDY2B"
"IFNA7"
"IFNA10"
"IFNA16"
"IFNA17"
"IFNA4"
"IFNA21"
"IFNW1"
"LRP1B"
"PCDH11Y"
"IFNB1"
"IZUMO3"
"PTPLAD2"
"KIAA1797"
"TGIF2LY"
"MLLT3"
"TUSC1"
"DAZ3"
"SMG1"
"BPY2B"
"STS"
"HDHD1"
"OR4P4"
"OR4S2"
"OR4C6"
"TSPY2"
"RBMY1B"
"DMD"
"TRAPPC9"
"KHDRBS3"
"GSDMC"
"EFR3A"
"KCNQ3"
"FAM49B"
"HHLA1"
"LRRC6"
"OC90"
"PTK2"
"FAM135B"
"LOC51059"
"PHF20L1"
"EIF2C2"
"SLA"
"NDRG1"
"ST3GAL1"
"WISP1"
"ZFAT"
"C8orf31"
"COL22A1"
"DENND3"
"LY6E"
"CYP11B1"
"CYP11B2"
"SLC45A4"
"TOP1MT"
"TSNARE1"
"ZC3H3"
"CHRAC1"
"GML"
"GPR20"
"LY6D"
"C8orf55"
"C8orf73"
"EEF1D"
"GLI4"
"GPIHBP1"
"GSDMD"
"LY6H"
"LYNX1"
"LYPD2"
"MAFA"
"NAPRT1"
"PLEC"
"RHPN1"
"SLURP1"
"ZFP41"
"ZNF696"
"BAI1"
"CCDC166"
"EPPK1"
"EXOSC4"
"FAM83H"
"FLJ43860"
"GPAA1"
"GRINA"
"KCNK9"
"MAPK15"
"NRBP2"
"OPLAH"
"PARP10"
"PTP4A3"
"PUF60"
"PYCRL"
"Q71RG6_HUMAN"
"SCRIB"
"SPATC1"
"TIGD5"
"TSTA3"
"ZNF623"
"ZNF707"
"CYC1"
"LY6K"
"SHARPIN"
"AC145291.1"
"ARC"
"ARHGAP39"
"BOP1"
"ODZ1"
"TENM1"
"IL1RAPL1"
"DCAF8L1"
"DCAF8L2"
"LOC389846"
"LOC392434"
"MAGEB10"
"MAGEB18"
"FAM47C"
"FTHL17"
"GK"
"LOC441488"
"LOC442444"
"MAGEB1"
"MAGEB2"
"MAGEB3"
"MAGEB4"
"MAGEB5"
"MAGEB6"
"MAGEB6P1"
"MID1"
"NR0B1"
"OR2J3_HUMAN"
"Q8N1I6_HUMAN"
"Q9HAJ0_HUMAN"
"RB1"
"RPS27AP17"
"TAB3"
"TAB3-AS1"
"CXorf21"
"CXorf22"
"CXorf27"
"CXorf30"
"CXorf59"
"CYBB"
"DDX53"
"DYNLT3"
"EGFL6"
"FAM47B"
"FRMPD4"
"FTH1P19"
"FTLP2"
"GPM6B"
"LANCL3"
"LOC139249"
"HDAC9"
"POTEB"
"CD99"
"GOLGA6L6"
"GOLGA8C"
"HERC2P3"
"IGHV1OR15-1"
"OR4M2"
"OR4N4"
"VSIG7"
"OR4K1"
"OR4K2"
"OR4K5"
"OR4M1"
"OR4N2"
"OR4Q3"
"OR11H12"
"POTEG"
"POTEM"
"XG"
"KIAA1267"
"GATA6"
"RBBP8"
"RP11-551L14.1"
"SOX5"
"CTAGE1"
"ALK"
"BCAT1"
"CACNA1C"
"DDX11"
"GMFG"
"LRRC37A"
"MED29"
"PAF1"
"PLEKHG2"
"SAMD4B"
"SIRT2"
"ZFP36"
"C12orf67"
"DLL3"
"EID2"
"EID2B"
"FBXO17"
"FBXO27"
"HNRNPL"
"IFLTD1"
"KRAS"
"LRMP"
"MRPS12"
"NFKBIB"
"PARD3B"
"Q9HAD2_HUMAN"
"RINL"
"RPS16"
"SARS2"
"SELV"
"SUPT5H"
"TIMM50"
"B4GALNT3"
"BHLHE41"
"BICD1"
"C12orf77"
"CABLES1"
"CASC1"
"DHRSX"
"FLJ16165"
"IL28A"
"IL28B"
"IL29"
"ITPR2"
"LGALS13"
"LRFN1"
"LYRM5"
"MIB1"
"NCCRP1"
"PAK4"
"RASSF8"
"SSPN"
"SYCN"
"TSPAN9"
"SMAD4"
"ELAC1"
"MEX3C"
"PKHD1"
"C20orf133"
"SLC44A5"
"DCC"
"ME2"
"TOX2"
"PTPRT"
"PPP4R1L"
"VAPB"
"Q8N8C9_HUMAN"
"C20orf111"
"GDAP1L1"
"HNF4A"
"JPH2"
"L3MBTL1"
"RAB22A"
"SDC4"
"ADA"
"FITM2"
"PKIG"
"R3HDML"
"SERINC3"
"SRSF6"
"TTPAL"
"C20orf62"
"GTSF1L"
"IFT52"
"MYBL2"
"Q9BVX4_HUMAN"
"RIMS4"
"SGK2"
"APCDD1L"
"DBNDD2"
"MATN4"
"PIGT"
"SLPI"
"SYS1"
"TP53TG5"
"WFDC2"
"WISP2"
"BMP7"
"DOK5"
"EPPIN"
"KCNK15"
"KCNS1"
"PABPC1L"
"PI3"
"RAE1"
"RBM38"
"RBPJL"
"SEMG1"
"SEMG2"
"SPINT3"
"STK4"
"TOMM34"
"WFDC12"
"WFDC5"
"WFDC6"
"YWHAB"
"ANKRD60"
"ATP5E"
"C20orf85"
"CDH4"
"CTSZ"
"MTRNR2L3"
"PCK1"
"PMEPA1"
"SLMO2"
"SPINLW1"
"SPINT4"
"SPO11"
"TUBB1"
"WFDC10A"
"WFDC10B"
"WFDC11"
"WFDC13"
"WFDC8"
"WFDC9"
"ZBP1"
"ZNF831"
"CTCFL"
"DNTTIP1"
"GNAS"
"GNAS_NM_016592_1"
"HMGB1P1"
"TH1L"
"TNNC2"
"UBE2C"
"WFDC3"
"ATP9A"
"EDN3"
"EYA2"
"NPEPL1"
"PHACTR3"
"C20orf106"
"C20orf107"
"C20orf197"
"C20orf43"
"CASS4"
"GCNT7"
"PFDN4"
"PLTP"
"RTFDC1"
"SLC9A8"
"STX16"
"PARK2"
"Q8WZ91"
"FAM190A"
"DOK6"
"DSG1"
"SGCZ"
"TMPRSS11E2"
"FHOD3"
"HMSD"
"MRO"
"MSR1"
"SERPINB10"
"SERPINB2"
"SERPINB8"
"BCL2"
"CDH19"
"CDH7"
"CELF4"
"EPHA3"
"HSBP1L1"
"KCNG2"
"MAPK4"
"PHLPP"
"PHLPP1"
"PQLC1"
"SERPINB11"
"SERPINB13"
"SERPINB3"
"ZNF217"
"PGAP3"
"ERBB2"
"IKZF3"
"TSHZ2"
"C17orf37"
"GRB7"
"BCAS1"
"PNMT"
"Q6P094_HUMAN"
"SUMO1P1"
"TCAP"
"STARD3"
"ZFP64"
"SALL4"
"CYP24A1"
"NFATC2"
"PPP1R1B"
"TMEM189"
"TMEM189-UBE2V1"
"UBE2V1"
"CCNE1"
"CEBPB"
"ACOT8"
"B4GALT5"
"C20orf165"
"CTSA"
"NCOA3"
"NEURL2"
"PCIF1"
"PTPN1"
"RNF114"
"SNAI1"
"SNX21"
"SPATA2"
"SULF2"
"ZNF335"
"ZSWIM1"
"ZSWIM3"
"BCAS4"
"C19orf2"
"DPM1"
"FAM65C"
"KCNG1"
"MMP9"
"MOCS3"
"NCOA5"
"NEUROD2"
"PTGIS"
"SLC12A5"
"GMDS"
"VCX"
"PDE4D"
"IMMP2L"
"PNPLA4"
"Q9P1M5_HUMAN"
"AMER1"
"ASB12"
"ARSF"
"DIAPH2"
"ARHGEF9"
"IL1RAPL2"
"CXorf28"
"KDM6A"
"LOC286528"
