,gene_name,ID,event
263,ADAMTSL3,EE87811,GAIN
264,ADAMTSL4,EE87811,GAIN
265,ADAMTSL5,EE87811,GAIN
266,ADAP1,EE87811,HETD
267,ADAP2,EE87811,GAIN
268,ADAR,EE87811,HETD
269,ADARB1,EE87811,GAIN
270,ADARB2,EE87811,GAIN
271,ADAT2,EE87811,GAIN
272,ADAT3,EE87811,GAIN
273,ADCK1,EE87811,GAIN
274,ADCK2,EE87811,GAIN
275,ADCK5,EE87811,GAIN
276,ADCY1,EE87811,GAIN
277,ADCY10,EE87811,HETD
278,ADCY2,EE87811,GAIN
279,ADCY3,EE87811,GAIN
280,ADCY4,EE87811,GAIN
281,ADCY5,EE87811,GAIN
282,ADCY6,EE87811,GAIN
283,ADCY7,EE87811,GAIN
284,ADCY8,EE87811,GAIN
285,ADCY9,EE87811,GAIN
286,ADCYAP1,EE87811,HETD
287,ADCYAP1R1,EE87811,GAIN
288,ADD2,EE87811,GAIN
289,ADD3,EE87811,GAIN
290,ADGB,EE87811,GAIN
291,ADGRA1,EE87811,GAIN
292,ADGRA2,EE87811,HETD
293,ADGRA3,EE87811,GAIN
294,ADGRB1,EE87811,GAIN
295,ADGRB2,EE87811,GAIN
296,ADGRB3,EE87811,GAIN
297,ADGRD1,EE87811,GAIN
298,ADGRD2,EE87811,GAIN
299,ADGRE1,EE87811,GAIN
300,ADGRE2,EE87811,GAIN
301,ADGRE3,EE87811,GAIN
302,ADGRE5,EE87811,GAIN
303,ADGRF1,EE87811,GAIN
304,ADGRF3,EE87811,GAIN
305,ADGRF4,EE87811,GAIN
306,ADGRF5,EE87811,GAIN
307,ADGRG1,EE87811,HETD
308,ADGRG2,EE87811,GAIN
309,ADGRG3,EE87811,HETD
310,ADGRG4,EE87811,GAIN
311,ADGRG5,EE87811,HETD
312,ADGRG6,EE87811,GAIN
313,ADGRG7,EE87811,GAIN
314,ADGRL1,EE87811,GAIN
315,ADGRL2,EE87811,GAIN
316,ADGRL3,EE87811,HETD
317,ADGRL4,EE87811,GAIN
318,ADGRV1,EE87811,GAIN
319,ADH1A,EE87811,GAIN
320,ADH1B,EE87811,GAIN
321,ADH1C,EE87811,GAIN
322,ADH4,EE87811,GAIN
323,ADH5,EE87811,GAIN
324,ADH6,EE87811,GAIN
325,ADH7,EE87811,GAIN
326,ADHFE1,EE87811,GAIN
327,ADI1,EE87811,GAIN
328,ADIG,EE87811,GAIN
329,ADIPOQ,EE87811,HETD
330,ADIPOR1,EE87811,HETD
331,ADIPOR2,EE87811,GAIN
332,ADIRF,EE87811,GAIN
333,ADK,EE87811,GAIN
334,ADM,EE87811,GAIN
335,ADM2,EE87811,GAIN
336,ADM5,EE87811,HETD
337,ADNP,EE87811,GAIN
338,ADNP2,EE87811,GAIN
339,ADO,EE87811,HETD
340,ADORA1,EE87811,HETD
341,ADORA2A,EE87811,GAIN
342,ADORA3,EE87811,GAIN
343,ADPGK,EE87811,GAIN
344,ADPRH,EE87811,GAIN
345,ADPRHL1,EE87811,GAIN
346,ADPRM,EE87811,GAIN
347,ADPRS,EE87811,GAIN
348,ADRA1A,EE87811,GAIN
349,ADRA1D,EE87811,GAIN
350,ADRA2A,EE87811,GAIN
351,ADRA2B,EE87811,GAIN
352,ADRA2C,EE87811,GAIN
353,ADRB1,EE87811,GAIN
354,ADRB2,EE87811,GAIN
355,ADRM1,EE87811,HETD
356,ADSS1,EE87811,GAIN
357,ADSS2,EE87811,HETD
358,ADTRP,EE87811,GAIN
359,AEBP1,EE87811,GAIN
360,AEBP2,EE87811,GAIN
361,AEN,EE87811,GAIN
362,AFAP1,EE87811,GAIN
363,AFAP1L1,EE87811,GAIN
364,AFAP1L2,EE87811,GAIN
365,AFDN,EE87811,HETD
366,AFF1,EE87811,GAIN
367,AFF2,EE87811,GAIN
368,AFF3,EE87811,GAIN
369,AFF4,EE87811,GAIN
370,AFG1L,EE87811,GAIN
371,AFG3L2,EE87811,GAIN
372,AFM,EE87811,GAIN
373,AFMID,EE87811,GAIN
374,AFP,EE87811,GAIN
375,AFTPH,EE87811,GAIN
376,AGA,EE87811,HETD
377,AGAP1,EE87811,HETD
378,AGAP2,EE87811,HETD
379,AGAP3,EE87811,GAIN
380,AGAP4,EE87811,GAIN
381,AGAP5,EE87811,GAIN
382,AGAP6,EE87811,HETD
383,AGAP9,EE87811,GAIN
384,AGBL1,EE87811,GAIN
385,AGBL2,EE87811,GAIN
386,AGBL3,EE87811,GAIN
387,AGBL4,EE87811,GAIN
388,AGBL5,EE87811,GAIN
389,AGER,EE87811,GAIN
390,AGFG1,EE87811,HETD
391,AGFG2,EE87811,GAIN
392,AGGF1,EE87811,GAIN
393,AGK,EE87811,GAIN
394,AGL,EE87811,GAIN
395,AGMAT,EE87811,GAIN
396,AGMO,EE87811,GAIN
397,AGO1,EE87811,GAIN
398,AGO2,EE87811,GAIN
399,AGO3,EE87811,GAIN
400,AGO4,EE87811,GAIN
401,AGPAT1,EE87811,GAIN
402,AGPAT2,EE87811,GAIN
403,AGPAT3,EE87811,GAIN
404,AGPAT4,EE87811,HETD
405,AGPAT5,EE87811,GAIN
406,AGPS,EE87811,HETD
407,AGR2,EE87811,GAIN
408,AGR3,EE87811,GAIN
409,AGRN,EE87811,GAIN
410,AGRP,EE87811,GAIN
411,AGT,EE87811,HETD
412,AGTPBP1,EE87811,GAIN
413,AGTR1,EE87811,GAIN
414,AGTR2,EE87811,GAIN
415,AGTRAP,EE87811,GAIN
416,AGXT,EE87811,HETD
417,AGXT2,EE87811,GAIN
418,AHCTF1,EE87811,HETD
419,AHCY,EE87811,GAIN
420,AHCYL1,EE87811,GAIN
421,AHCYL2,EE87811,GAIN
422,AHDC1,EE87811,GAIN
423,AHI1,EE87811,HETD
424,AHNAK,EE87811,HETD
425,AHNAK2,EE87811,GAIN
426,AHR,EE87811,GAIN
427,AHRR,EE87811,HETD
428,AHSA1,EE87811,GAIN
429,AHSG,EE87811,HETD
430,AHSP,EE87811,GAIN
431,AICDA,EE87811,GAIN
432,AIDA,EE87811,HETD
433,AIF1,EE87811,GAIN
434,AIF1L,EE87811,GAIN
435,AIFM1,EE87811,GAIN
436,AIFM2,EE87811,GAIN
437,AIFM3,EE87811,GAIN
438,AIG1,EE87811,GAIN
439,AIM2,EE87811,HETD
440,AIMP1,EE87811,GAIN
441,AIMP2,EE87811,GAIN
442,AIP,EE87811,GAIN
443,AIPL1,EE87811,GAIN
444,AIRE,EE87811,GAIN
445,AJAP1,EE87811,GAIN
446,AJM1,EE87811,GAIN
447,AJUBA,EE87811,GAIN
448,AK3,EE87811,GAIN
449,AK4,EE87811,GAIN
450,AK4P3,EE87811,GAIN
451,AK6,EE87811,GAIN
452,AK7,EE87811,GAIN
453,AK8,EE87811,GAIN
454,AK9,EE87811,GAIN
455,AKAIN1,EE87811,GAIN
456,AKAP1,EE87811,HETD
457,AKAP10,EE87811,GAIN
458,AKAP11,EE87811,GAIN
459,AKAP12,EE87811,GAIN
460,AKAP13,EE87811,GAIN
461,AKAP14,EE87811,GAIN
462,AKAP17A,EE87811,GAIN
463,AKAP3,EE87811,GAIN
464,AKAP4,EE87811,GAIN
465,AKAP5,EE87811,GAIN
466,AKAP6,EE87811,GAIN
467,AKAP7,EE87811,GAIN
468,AKAP8,EE87811,GAIN
469,AKAP8L,EE87811,GAIN
470,AKAP9,EE87811,GAIN
471,AKIP1,EE87811,GAIN
472,AKIRIN1,EE87811,GAIN
473,AKIRIN2,EE87811,GAIN
474,AKNA,EE87811,GAIN
475,AKNAD1,EE87811,GAIN
476,AKR1A1,EE87811,GAIN
477,AKR1B1,EE87811,GAIN
478,AKR1B10,EE87811,GAIN
479,AKR1C1,EE87811,GAIN
480,AKR1C2,EE87811,GAIN
481,AKR1C3,EE87811,GAIN
482,AKR1C4,EE87811,GAIN
483,AKR1C8,EE87811,GAIN
484,AKR1D1,EE87811,GAIN
485,AKR1E2,EE87811,GAIN
486,AKR7A2,EE87811,GAIN
487,AKT1,EE87811,GAIN
488,AKT1S1,EE87811,HETD
489,AKT2,EE87811,GAIN
490,AKT3,EE87811,HETD
491,AKTIP,EE87811,GAIN
492,ALAD,EE87811,GAIN
493,ALAS1,EE87811,GAIN
494,ALAS2,EE87811,GAIN
495,ALCAM,EE87811,GAIN
496,ALDH16A1,EE87811,HETD
497,ALDH18A1,EE87811,GAIN
498,ALDH1A1,EE87811,GAIN
499,ALDH1A2,EE87811,HETD
500,ALDH1A3,EE87811,GAIN
501,ALDH1B1,EE87811,GAIN
502,ALDH1L1,EE87811,GAIN
503,ALDH1L2,EE87811,GAIN
504,ALDH3A1,EE87811,GAIN
505,ALDH3A2,EE87811,GAIN
506,ALDH3B1,EE87811,GAIN
507,ALDH3B2,EE87811,GAIN
508,ALDH4A1,EE87811,GAIN
509,ALDH5A1,EE87811,GAIN
510,ALDH6A1,EE87811,GAIN
511,ALDH7A1,EE87811,GAIN
512,ALDH8A1,EE87811,GAIN
513,ALDH9A1,EE87811,HETD
514,ALG1,EE87811,GAIN
515,ALG10,EE87811,GAIN
516,ALG10B,EE87811,GAIN
517,ALG11,EE87811,GAIN
518,ALG12,EE87811,HETD
519,ALG13,EE87811,GAIN
520,ALG14,EE87811,GAIN
521,ALG2,EE87811,GAIN
522,ALG3,EE87811,HETD
523,ALG5,EE87811,GAIN
524,ALG8,EE87811,GAIN
525,ALG9,EE87811,GAIN
526,ALK,EE87811,GAIN
527,ALKAL1,EE87811,GAIN
528,ALKAL2,EE87811,HETD
529,ALKBH1,EE87811,GAIN
530,ALKBH2,EE87811,GAIN
531,ALKBH3,EE87811,GAIN
532,ALKBH4,EE87811,GAIN
533,ALKBH5,EE87811,GAIN
534,ALKBH6,EE87811,GAIN
535,ALKBH7,EE87811,GAIN
536,ALKBH8,EE87811,GAIN
537,ALLC,EE87811,GAIN
538,ALMS1,EE87811,GAIN
539,ALOX12,EE87811,GAIN
540,ALOX12B,EE87811,GAIN
541,ALOX15,EE87811,GAIN
542,ALOX15B,EE87811,GAIN
543,ALOX5,EE87811,GAIN
544,ALOX5AP,EE87811,GAIN
545,ALOXE3,EE87811,GAIN
546,ALPG,EE87811,HETD
547,ALPI,EE87811,HETD
548,ALPK1,EE87811,GAIN
549,ALPK2,EE87811,HETD
550,ALPK3,EE87811,GAIN
551,ALPL,EE87811,GAIN
552,ALPP,EE87811,HETD
553,ALS2,EE87811,HETD
554,ALS2CL,EE87811,GAIN
555,ALX1,EE87811,GAIN
556,ALX3,EE87811,GAIN
557,ALX4,EE87811,GAIN
558,ALYREF,EE87811,GAIN
559,AMACR,EE87811,GAIN
560,AMBP,EE87811,GAIN
561,AMBRA1,EE87811,GAIN
562,AMD1,EE87811,GAIN
563,AMDHD1,EE87811,GAIN
564,AMDHD2,EE87811,HETD
565,AMELX,EE87811,GAIN
