sample,region-set,Dip_area,Dip_depth
EE88065,panc_epithel_cluster1974_hg38,-0.88,1.82
EE88065,HPF_lung_fibroblast_cluster1737_hg38,-2.07,-0.74
EE88065,melano_SOX_clusters1863_2205_hg38,-2.04,-1.27
EE88065,HeLa_cluster1777_hg38,1.44,-0.02
EE88065,panc_adenoca_cluster1261_hg38,0.86,-0.28
EE88065,mammary_epithel_cluster2438_hg38,-1.01,0.32
EE88065,hematopoietic_specific_liquorice_hg38,-0.97,0.64
EE88065,skeletal_muscle_cluster1518_hg38,-2.41,1.86
EE88065,SAEC_hg38,0.12,0.84
EE88021,prostate_cluster2483_hg38,-0.47,1.3
EE88021,hepatocyte_all_hg38,-0.81,1.31
EE88021,colon_cluster507_hg38,0.5,-0.15
EE88021,A549_hg38,-0.66,-0.08
EE88021,panc_epithel_cluster1974_hg38,0.6,-1.43
EE88021,HPF_lung_fibroblast_cluster1737_hg38,-0.09,0.21
EE88021,melano_SOX_clusters1863_2205_hg38,-0.6,-0.1
EE88021,HeLa_cluster1777_hg38,0.49,0.49
EE88021,panc_adenoca_cluster1261_hg38,-0.2,-0.1
EE88021,mammary_epithel_cluster2438_hg38,-1.19,0.56
EE88021,hematopoietic_specific_liquorice_hg38,0.69,-0.85
EE88021,skeletal_muscle_cluster1518_hg38,-0.49,-0.05
EE88021,SAEC_hg38,-0.48,-1.07
EE88155,prostate_cluster2483_hg38,-1.13,-0.01
EE88155,hepatocyte_all_hg38,-1.42,-0.41
EE88155,colon_cluster507_hg38,-1.08,-0.15
EE88155,A549_hg38,-0.75,0.2
EE88155,panc_epithel_cluster1974_hg38,-0.83,-1.71
EE88155,HPF_lung_fibroblast_cluster1737_hg38,0.65,-1.3
EE88155,melano_SOX_clusters1863_2205_hg38,0.6,-1.71
EE88155,HeLa_cluster1777_hg38,0.69,-1.29
EE88155,panc_adenoca_cluster1261_hg38,0.44,-1.58
EE88155,mammary_epithel_cluster2438_hg38,0.26,-0.4
EE88155,hematopoietic_specific_liquorice_hg38,-0.21,-0.45
EE88155,skeletal_muscle_cluster1518_hg38,0.31,-1.13
EE88155,SAEC_hg38,-0.09,0.26
EE88238,prostate_cluster2483_hg38,-0.39,0.08
EE88238,hepatocyte_all_hg38,-0.71,0.11
EE88238,colon_cluster507_hg38,0.34,-0.11
EE88238,A549_hg38,-0.65,-0.77
EE88238,panc_epithel_cluster1974_hg38,-0.38,1
EE88238,HPF_lung_fibroblast_cluster1737_hg38,1.23,-0.3
EE88238,melano_SOX_clusters1863_2205_hg38,-0.5,-0.6
EE88238,HeLa_cluster1777_hg38,-0.87,-0.36
EE88238,panc_adenoca_cluster1261_hg38,-0.35,2.15
EE88238,mammary_epithel_cluster2438_hg38,-0.04,0.44
EE88238,hematopoietic_specific_liquorice_hg38,0.74,-0.72
EE88238,skeletal_muscle_cluster1518_hg38,0.77,0.59
EE88238,SAEC_hg38,1.38,-0.02
EE87981,prostate_cluster2483_hg38,0.08,0.09
EE87981,hepatocyte_all_hg38,0.25,-0.39
EE87981,colon_cluster507_hg38,0.11,-0.29
EE87981,A549_hg38,-0.07,-1
EE87981,panc_epithel_cluster1974_hg38,0.51,-0.45
EE87981,HPF_lung_fibroblast_cluster1737_hg38,1.86,-0.98
EE87981,melano_SOX_clusters1863_2205_hg38,2.31,-1.9
EE87981,HeLa_cluster1777_hg38,0.9,-1.8
EE87981,panc_adenoca_cluster1261_hg38,-0.5,-1.08
EE87981,mammary_epithel_cluster2438_hg38,1.26,-0.07
EE87981,hematopoietic_specific_liquorice_hg38,0.93,-0.32
EE87981,skeletal_muscle_cluster1518_hg38,0.17,0.51
EE87981,SAEC_hg38,-1.44,1.35
EE87985,prostate_cluster2483_hg38,0.82,-0.12
EE87985,hepatocyte_all_hg38,0.83,-0.42
EE87985,colon_cluster507_hg38,-0.7,-0.11
EE87985,A549_hg38,-1.31,0.86
EE87985,panc_epithel_cluster1974_hg38,-0.14,1.32
EE87985,HPF_lung_fibroblast_cluster1737_hg38,-0.85,2.08
EE87985,melano_SOX_clusters1863_2205_hg38,-1.03,0.14
EE87985,HeLa_cluster1777_hg38,-0.88,1.44
EE87985,panc_adenoca_cluster1261_hg38,-0.52,-0.13
EE87985,mammary_epithel_cluster2438_hg38,-1.01,1.23
EE87985,hematopoietic_specific_liquorice_hg38,-1.19,1.09
EE87985,skeletal_muscle_cluster1518_hg38,-0.47,0.41
EE87985,SAEC_hg38,-0.06,0.11
EE87962,prostate_cluster2483_hg38,-0.57,-0.52
EE87962,hepatocyte_all_hg38,0.26,0
EE87962,colon_cluster507_hg38,2,-1.52
EE87962,A549_hg38,0.11,0.69
EE87962,panc_epithel_cluster1974_hg38,1.76,-0.3
EE87962,HPF_lung_fibroblast_cluster1737_hg38,0.98,-0.08
EE87962,melano_SOX_clusters1863_2205_hg38,1.38,1.41
EE87962,HeLa_cluster1777_hg38,-0.05,-0.72
EE87962,panc_adenoca_cluster1261_hg38,0.56,-0.89
EE87962,mammary_epithel_cluster2438_hg38,0.61,0.51
EE87962,hematopoietic_specific_liquorice_hg38,0.41,0.49
EE87962,skeletal_muscle_cluster1518_hg38,-1.16,1.51
EE87962,SAEC_hg38,0.01,0.7
EE88028,prostate_cluster2483_hg38,-0.92,5.09
EE88028,hepatocyte_all_hg38,-1.42,2.84
EE88028,colon_cluster507_hg38,-0.33,2.09
EE88028,A549_hg38,-2.28,1.79
EE88028,panc_epithel_cluster1974_hg38,-0.35,2.26
EE88028,HPF_lung_fibroblast_cluster1737_hg38,-0.88,2.3
EE88028,melano_SOX_clusters1863_2205_hg38,-2.08,2.16
EE88028,HeLa_cluster1777_hg38,-1.18,1.79
EE88028,panc_adenoca_cluster1261_hg38,0.16,0.44
EE88028,mammary_epithel_cluster2438_hg38,-2.33,2.39
EE88028,hematopoietic_specific_liquorice_hg38,1.41,-1.24
EE88028,skeletal_muscle_cluster1518_hg38,-1.61,3.41
EE88028,SAEC_hg38,-1.74,-0.05
EE88245,prostate_cluster2483_hg38,-2.13,1.01
EE88245,hepatocyte_all_hg38,-0.73,-0.12
EE88245,colon_cluster507_hg38,-0.42,-0.37
EE88245,A549_hg38,-0.23,0.74
EE88245,panc_epithel_cluster1974_hg38,-0.39,0.21
EE88245,HPF_lung_fibroblast_cluster1737_hg38,-1.75,-0.69
EE88245,melano_SOX_clusters1863_2205_hg38,1.77,-1.43
EE88245,HeLa_cluster1777_hg38,-1.82,-0.37
EE88245,panc_adenoca_cluster1261_hg38,-1.49,-0.59
EE88245,mammary_epithel_cluster2438_hg38,1.67,-1.13
EE88245,hematopoietic_specific_liquorice_hg38,1.2,-1.18
EE88245,skeletal_muscle_cluster1518_hg38,-0.06,-0.58
EE88245,SAEC_hg38,0.15,0.93
EE87932,prostate_cluster2483_hg38,0.8,1.11
EE87932,hepatocyte_all_hg38,-0.24,-1.87
EE87932,colon_cluster507_hg38,-0.16,-0.65
EE87932,A549_hg38,-1.22,-3.15
EE87932,panc_epithel_cluster1974_hg38,-0.59,-0.01
EE87932,HPF_lung_fibroblast_cluster1737_hg38,0.25,-1.17
EE87932,melano_SOX_clusters1863_2205_hg38,2.47,0.29
EE87932,HeLa_cluster1777_hg38,-0.66,-0.92
EE87932,panc_adenoca_cluster1261_hg38,-0.32,0.41
EE87932,mammary_epithel_cluster2438_hg38,1.01,0.36
EE87932,hematopoietic_specific_liquorice_hg38,-0.29,-0.69
EE87932,skeletal_muscle_cluster1518_hg38,-0.06,-1.07
EE87932,SAEC_hg38,-1.21,-0.98
EE88164,prostate_cluster2483_hg38,1.72,-2.79
EE88164,hepatocyte_all_hg38,-0.37,-0.05
EE88164,colon_cluster507_hg38,-0.11,1.82
EE88164,A549_hg38,-1.73,-0.07
EE88164,panc_epithel_cluster1974_hg38,-1.17,-0.09
EE88164,HPF_lung_fibroblast_cluster1737_hg38,-0.79,-0.07
EE88164,melano_SOX_clusters1863_2205_hg38,0.83,-1.07
EE88164,HeLa_cluster1777_hg38,1.73,0.25
EE88164,panc_adenoca_cluster1261_hg38,0.79,0.25
EE88164,mammary_epithel_cluster2438_hg38,-0.37,-0.95
EE88164,hematopoietic_specific_liquorice_hg38,-2.53,1.91
EE88164,skeletal_muscle_cluster1518_hg38,-0.54,-0.71
EE88164,SAEC_hg38,0.35,-0.43
EE88091,prostate_cluster2483_hg38,0.74,0.45
EE88091,hepatocyte_all_hg38,2.11,-0.78
EE88091,colon_cluster507_hg38,1.91,0.68
EE88091,A549_hg38,0.52,0.36
EE88091,panc_epithel_cluster1974_hg38,2.42,-0.59
EE88091,HPF_lung_fibroblast_cluster1737_hg38,0.59,0.47
EE88091,melano_SOX_clusters1863_2205_hg38,-0.34,0.76
EE88091,HeLa_cluster1777_hg38,-1.21,0.41
EE88091,panc_adenoca_cluster1261_hg38,1.42,-0.91
EE88091,mammary_epithel_cluster2438_hg38,-0.37,-0.38
EE88091,hematopoietic_specific_liquorice_hg38,-0.18,1.39
EE88091,skeletal_muscle_cluster1518_hg38,-0.68,1.49
EE88091,SAEC_hg38,0.67,0.93
EE88011,prostate_cluster2483_hg38,-0.67,2.4
EE88011,hepatocyte_all_hg38,0.31,0.39
EE88011,colon_cluster507_hg38,-2.38,0.6
EE88011,A549_hg38,0.92,-0.45
