length,EE87920,EE88290,EE88291,EE88292,EE88293,EE88294,EE88295,EE88296,EE88297,EE88298,EE88299,EE88301,EE88302,EE88303,EE88304,EE88305,EE88306,EE88307,EE88308,EE88309,EE88310,EE88311,EE88312,EE88313,EE88314,EE88315,EE88316,EE88317,EE88318,EE88319,EE88320,EE88321,EE88322,EE88323,EE88324
152,3153843,892043,486585,457127,610156,433871,601627,565445,516727,578257,444440,885874,480674,594534,519630,330214,203011,421664,426188,320720,654831,507834,1017297,455581,384497,412464,429683,684793,729893,513750,442703,628798,887989,771870,531877
153,3170630,903829,494048,459301,612386,436005,605558,569249,519886,581796,450404,892967,481456,598929,525711,330700,205639,422738,428332,322002,655742,506693,1010261,458013,387224,410797,430347,678624,739806,514128,444816,633065,887019,775097,526720
154,2646444,892833,484301,450674,592205,439796,603329,553838,509898,568794,440325,878286,467706,589969,522884,318721,203515,420206,415380,310259,642605,483318,974178,451456,372422,388558,415284,659619,727663,492162,433027,623953,872732,760546,500445
155,2014207,917356,489463,458935,594701,464531,620100,560523,524092,574205,442366,893703,474831,600771,535293,320932,207616,433696,419766,311505,647456,479953,981562,460723,369804,384102,419054,666620,736965,482541,441127,643750,882721,770595,494642
156,1551554,984388,517595,492859,629959,507184,659007,595792,564318,607462,462044,949286,506666,637076,571670,340090,221818,465718,446092,329162,676372,501049,1030810,492036,390813,403760,445322,707436,781946,495382,472000,697525,927024,806765,521115
157,1328779,1086213,567163,547216,692378,561474,714127,653137,625413,661231,495552,1035669,560646,697558,624009,375508,245723,511149,491410,362292,729637,543209,1115788,538416,429642,447049,491528,769175,856215,526792,524495,776578,1003950,866789,572530
158,1356150,1203468,631699,612381,774903,615247,777847,728521,693919,727357,543825,1136978,624303,771780,687833,417661,273603,561188,548239,403323,793855,600166,1218288,595877,478411,502115,544783,839539,943577,572298,583944,865604,1091345,941815,637900
159,1706042,1312744,699838,683266,859331,663029,835607,806949,761913,798327,597524,1244117,691190,846935,749336,462208,303748,611804,603875,445955,857203,662095,1325778,654062,532316,561012,599330,901157,1033713,623251,641819,947077,1177504,1011880,705020
160,2313836,1398556,760126,738865,922080,698556,883034,870031,812692,850357,644073,1329340,744233,907586,799589,495084,328727,649667,649771,478788,911016,711655,1410417,703735,573967,608193,640328,946967,1104206,668835,685494,1006768,1242732,1071436,756264
161,2788049,1474651,806669,780836,968006,733608,929311,919266,851391,889659,680170,1403695,780953,963356,842487,519219,349546,685105,684486,500713,957518,744016,1469871,745432,602158,635030,667836,981386,1157697,698971,718030,1060004,1301881,1122345,790637
162,2814132,1576852,857194,830174,1019311,793779,994933,978105,908061,940252,724015,1503075,825589,1026781,899777,545501,372659,735090,723371,525985,1012795,776757,1551359,799117,629548,662750,704869,1030431,1226374,731685,757377,1133772,1381961,1187483,826786
163,2475119,1754082,941901,922651,1117601,907064,1103871,1088294,1011387,1036712,790333,1680118,912223,1134346,993046,597492,411362,821005,798324,575892,1108627,847513,1709073,895725,685062,716773,774811,1131487,1350743,784373,836332,1274311,1513518,1297902,897815
164,2013524,1988779,1067976,1060304,1271689,1060824,1251128,1247038,1165828,1183900,883792,1922150,1042759,1292663,1128407,675486,468284,941995,905537,654507,1241279,954907,1923254,1034838,772348,801461,878557,1269091,1517121,866088,954687,1469727,1679649,1444193,1011644
165,1603796,2163887,1176623,1174044,1394924,1171584,1370964,1380752,1294307,1296605,958829,2096412,1150722,1433599,1230065,741969,518116,1028173,1004755,726844,1341518,1044688,2073065,1152078,856289,878910,962801,1373479,1652668,937643,1063098,1637546,1789859,1551521,1106735
166,1333685,2166596,1217370,1215245,1431911,1182159,1392511,1411489,1325407,1303248,978951,2101259,1178107,1484109,1243957,764710,536109,1040559,1034659,749172,1348800,1056948,2065075,1182375,894913,909836,982789,1371876,1668359,961504,1099090,1685154,1768998,1551007,1134745
167,1178653,2058929,1204419,1195645,1408960,1125706,1345790,1373062,1284464,1247127,961884,1999255,1154585,1467497,1197575,755679,536514,1000314,1025736,741050,1295804,1026876,1960026,1145231,897667,903153,957694,1302618,1610374,952028,1079052,1638790,1658268,1469989,1114349
168,1128781,1911283,1166739,1157209,1355666,1043754,1271311,1306241,1212145,1165513,925185,1868659,1111948,1415387,1132377,728165,528026,943752,991207,712026,1219208,974809,1811900,1087328,879935,876384,910972,1216434,1522737,919929,1036639,1548265,1526298,1369024,1072170
169,1168874,1750262,1118320,1103627,1283876,957069,1192621,1229217,1128419,1074719,883212,1721494,1059709,1354699,1056932,693905,510542,881613,949178,674944,1133763,910992,1658065,1018795,852648,836381,854778,1115357,1422662,882759,983231,1441403,1386950,1261046,1013037
170,1250569,1583374,1055827,1038688,1196465,876640,1107244,1137698,1036666,980919,831976,1570740,995385,1277883,978927,653585,489374,815100,891330,631575,1040025,839940,1498009,948258,809110,784283,791166,1010153,1309738,835175,918845,1336101,1246116,1152371,940379
171,1301511,1420515,986019,969501,1107544,807725,1029028,1048276,951328,892631,776321,1422319,925049,1196631,899299,607710,466937,751442,832714,585338,950401,771518,1351998,877838,764881,731400,724886,911197,1195818,782268,857327,1235443,1112146,1044962,868645
172,1300840,1290203,926049,910928,1034309,760588,963517,970543,882620,821428,723368,1299476,867671,1128796,828187,573229,448109,700964,786469,548638,868770,712178,1234033,819498,727037,686629,671659,826196,1094483,738409,807679,1157632,996320,959052,808616
173,1258485,1194915,891483,879540,986436,733737,920905,918971,836711,775405,685628,1208001,829780,1085221,776615,551611,438465,666210,759810,528283,808770,673824,1151400,784726,711335,660982,637583,768694,1023458,709732,778428,1106858,909488,896272,769112
174,1200153,1125444,864232,862086,956087,722517,888243,882286,807768,744404,657615,1142055,809939,1058760,737212,538636,437131,643062,743998,518588,761171,648086,1086115,761973,705133,646648,612989,722839,971380,691143,764610,1074323,837722,848540,741405
175,1122350,1058684,837569,843722,928037,705847,851018,844502,775459,713754,627360,1077402,791552,1028027,697167,526821,433091,620209,730728,508288,712483,622937,1028698,739757,700224,634025,590461,681631,924801,673731,750714,1034836,769796,798427,717369
176,1023783,981211,798018,813152,888730,672207,800946,794608,732102,669154,592054,997587,759957,977128,649484,509034,420713,589230,705140,490602,659017,595227,957113,702577,686324,619179,560393,632219,872660,646618,719590,979402,697891,740100,684269
177,932047,887107,743906,762804,829532,615622,732731,732258,671924,612457,547245,902595,712420,902308,588118,480671,398087,543621,662398,460415,593806,555399,874605,648637,654699,591952,521379,574187,803581,606355,672398,896744,618326,670938,638707
178,863159,787470,676882,697258,761382,544634,654149,662655,602756,547835,496036,798206,653330,811960,524314,444966,368580,489032,606954,422432,525165,508707,788045,580907,611067,553979,474491,510503,728254,562916,615155,801975,541578,595584,587858
179,807608,692567,612652,626905,688622,470328,576436,589826,532566,484313,445226,697154,589706,723795,462729,405895,338102,435760,547248,383216,462191,463407,702409,515588,562568,513806,426433,449800,651023,515221,554686,706453,472302,523592,532521
180,772077,607016,550189,563444,620432,405540,508769,523806,471013,427027,399646,607801,531628,640358,407958,367672,306085,385944,493911,342712,404620,416802,624037,455672,515624,473159,381148,394004,582482,469716,498820,619540,411040,460826,479868
181,750212,532153,496297,505888,555749,353599,449121,466627,414933,376719,358645,532826,477544,572354,360420,332328,278479,344011,444505,308157,355631,374027,554419,405697,471281,431516,340327,345250,522781,426500,448818,546840,358478,407700,430694
182,726471,467991,447631,455171,500912,314005,403335,417003,369758,336878,324623,472423,429027,516860,320343,300761,255957,308151,401987,278651,316006,336400,497591,363774,431802,395742,305279,303990,470102,391277,406022,488896,313841,363208,388360
